DATE,M2SL
1/1/59,286.6
2/1/59,287.7
3/1/59,289.2
4/1/59,290.1
5/1/59,292.2
6/1/59,294.1
7/1/59,295.2
8/1/59,296.4
9/1/59,296.7
10/1/59,296.5
11/1/59,297.1
12/1/59,297.8
1/1/60,298.2
2/1/60,298.5
3/1/60,299.4
4/1/60,300.1
5/1/60,300.9
6/1/60,302.3
7/1/60,304.1
8/1/60,306.9
9/1/60,308.4
10/1/60,309.5
11/1/60,310.9
12/1/60,312.4
1/1/61,314.1
2/1/61,316.5
3/1/61,318.3
4/1/61,319.9
5/1/61,322.2
6/1/61,324.3
7/1/61,325.6
8/1/61,327.6
9/1/61,329.5
10/1/61,331.1
11/1/61,333.4
12/1/61,335.5
1/1/62,337.5
2/1/62,340.1
3/1/62,343.1
4/1/62,345.5
5/1/62,347.5
6/1/62,349.3
7/1/62,350.8
8/1/62,352.8
9/1/62,354.9
10/1/62,357.2
11/1/62,359.8
12/1/62,362.7
1/1/63,365.2
2/1/63,367.9
3/1/63,370.7
4/1/63,373.3
5/1/63,376.1
6/1/63,378.4
7/1/63,381.1
8/1/63,383.6
9/1/63,386
10/1/63,388.3
11/1/63,391.5
12/1/63,393.2
1/1/64,395.2
2/1/64,397.6
3/1/64,399.8
4/1/64,401.7
5/1/64,404.2
6/1/64,407.1
7/1/64,410.1
8/1/64,413.4
9/1/64,416.9
10/1/64,419.1
11/1/64,422
12/1/64,424.7
1/1/65,427.5
2/1/65,430.4
3/1/65,433.2
4/1/65,435.4
5/1/65,437.1
6/1/65,440.1
7/1/65,442.9
8/1/65,445.8
9/1/65,449.5
10/1/65,452.6
11/1/65,455.7
12/1/65,459.2
1/1/66,462
2/1/66,464.6
3/1/66,467.2
4/1/66,469.3
5/1/66,470.1
6/1/66,471.2
7/1/66,470.9
8/1/66,472.6
9/1/66,475.4
10/1/66,475.7
11/1/66,477.3
12/1/66,480.2
1/1/67,481.6
2/1/67,485.1
3/1/67,489.7
4/1/67,492.1
5/1/67,497.2
6/1/67,502
7/1/67,506.3
8/1/67,510.8
9/1/67,514.7
10/1/67,518.2
11/1/67,521.2
12/1/67,524.8
1/1/68,527.4
2/1/68,530.4
3/1/68,533.2
4/1/68,535.7
5/1/68,538.9
6/1/68,542.6
7/1/68,545.6
8/1/68,549.4
9/1/68,553.6
10/1/68,557.6
11/1/68,562.4
12/1/68,566.8
1/1/69,569.3
2/1/69,571.9
